i;j;Case 1;Case 2;Case 3
0;0;2.8155342086E+08;-2.65716118025E+08;2.772740503077E+09
0;1;-1.3604234755E+09;1.44460672176E+09;-1.511116200383E+10
0;2;2.5680814173E+09;-3.30775263629E+09;3.359898339509E+10
0;3;-2.3749048020E+09;4.09476879085E+09;-3.931370557347E+10
0;4;1.1018790823E+09;-2.85113549836E+09;2.568242175070E+10
0;5;-2.2369432567E+08;1.04468867152E+09;-8.910001125072E+09
0;6;1.0333331760E+07;-1.55949665822E+08;1.283702171489E+09
1;0;-1.2507370535E+09;1.09194557319E+09;-1.835207887206E+10
1;1;6.0855464952E+09;-5.79868117659E+09;9.968840193937E+10
1;2;-1.1299989463E+10;1.33105300001E+10;-2.206748388659E+11
1;3;9.8849328960E+09;-1.69301267702E+10;2.567753028509E+11
1;4;-3.9834062377E+09;1.22521610629E+10;-1.666399237939E+11
1;5;4.9378902059E+08;-4.66964252637E+09;5.738975749509E+10
1;6;5.2321903739E+07;7.21807874885E+08;-8.205187531543E+09
2;0;1.9768899465E+09;-1.41420611344E+09;5.048790134289E+10
2;1;-9.8332050856E+09;6.90701335263E+09;-2.734853546860E+11
2;2;1.7747950872E+10;-1.58513588792E+10;6.030843813239E+11
2;3;-1.3708908727E+10;2.18307187952E+10;-6.983026477397E+11
2;4;3.4209711829E+09;-1.75317120450E+10;4.504970086908E+11
2;5;8.5078410556E+08;7.33880070233E+09;-1.541091460026E+11
2;6;-4.0889131101E+08;-1.22158637409E+09;2.187624382547E+10
3;0;-1.0197308416E+09;7.73210701594E+07;-7.387428621629E+10
3;1;5.6391271164E+09;1.34486930051E+09;3.992235430567E+11
3;2;-9.2786669169E+09;-3.30561521241E+09;-8.774471173555E+11
3;3;3.4255635862E+09;-1.65162479167E+08;1.011593253211E+12
3;4;4.1350902779E+09;4.77149948327E+09;-6.491491764794E+11
3;5;-3.8703379297E+09;-3.59646752474E+09;2.207094742458E+11
3;6;9.0560501647E+08;7.92815034078E+08;-3.112306408310E+10
4;0;-5.2014907251E+08;1.31734215336E+09;6.062132355209E+10
4;1;1.6430402862E+09;-9.14816149057E+09;-3.269548926167E+11
4;2;-4.1943207383E+09;2.15141832487E+10;7.165544880737E+11
4;3;8.7744265687E+09;-2.25857891492E+10;-8.229601534127E+11
4;4;-9.6396242238E+09;1.11073367841E+10;5.255954544900E+11
4;5;4.9285194472E+09;-2.21296200564E+09;-1.777099324477E+11
4;6;-9.4231571999E+08;7.16790265068E+07;2.490651232203E+10
5;0;7.5621616079E+08;-1.07533855345E+09;-2.644768540455E+10
5;1;-3.1354713213E+09;6.95982050194E+09;1.424069054812E+11
5;2;6.3236228011E+09;-1.64129724842E+10;-3.113280144245E+11
5;3;-8.1644749693E+09;1.84269796800E+10;3.563606907239E+11
5;4;6.4954787308E+09;-1.05567535714E+10;-2.266288981108E+11
5;5;-2.7758314613E+09;2.94033674889E+09;7.624015083185E+10
5;6;4.7975871848E+08;-3.08815693413E+08;-1.062521370842E+10
6;0;-2.2403719801E+08;2.68656668179E+08;4.792082094084E+09
6;1;9.6136600046E+08;-1.70948340798E+09;-2.576741910372E+10
6;2;-1.8666477177E+09;4.05300761746E+09;5.621206100831E+10
6;3;2.1633410377E+09;-4.67140301943E+09;-6.415266929861E+10
6;4;-1.5303774900E+09;2.80860832527E+09;4.064306689072E+10
6;5;5.9676830971E+08;-8.44754542214E+08;-1.361028724228E+10
6;6;-9.6811643323E+07;1.00049757117E+08;1.887004836588E+09
